ListingID,Listing Title,Page Name,Amount Per Stay
1316903,Hyatt Centric The Loop Chicago,hyatt-centric-the-loop-chicago,
28884,Hampton Inn Majestic Chicago Theatre District,hampton-inn-majestic-chicago-theatre-district,
1629853,"Kimpton Gray Hotel Chicago, an IHG Hotel",kimpton-the-gray-chicago1,
59369,Central Loop Hotel,c-l-chicago-illinois,
10525479,Fully Furnished Apt Near Millenium Park- 29,the-stars-by-cloud9-29,
56065,"Club Quarters Hotel Central Loop, Chicago",club-quarters-central-loop,
1468451,Residence Inn by Marriott Chicago Downtown/Loop,residence-inn-by-marriott-chicago-downtown-loop,
7736033,"The LaSalle Chicago, Autograph Collection",the-lasalle-chicago-autograph-collection,
28801,The Palmer House Hilton,the-palmer-house,
56896,W Chicago - City Center,w-chicago-city-center,
284261,JW Marriott Chicago,jw-marriott-chicago,
45479,"Staypineapple, An Iconic Hotel, The Loop",staypineapple-the-loop,
56368,Silversmith Hotel Chicago Downtown,the-silversmith,
9756366,Loop 1br w gym doorman nr L Grant Park CHI-814,loop-1br-w-gym-doorman-nr-l-grant-park-chi-814,
7121006,Sonder Jewelers Row,sonder-at-jewelers-row,
400626,La Quinta by Wyndham Chicago Downtown,la-quinta-inn-chicago,
7587822,Hilton Garden Inn- Chicago Central Loop,hilton-garden-inn-chicago-central-loop-il,
7587739,Canopy By Hilton Chicago Central Loop,canopy-by-hilton-chicago-central-loop,
1334658,"Chicago Athletic Association, part of Hyatt",chicago-athletic-association,
4046046,Sonder The Plymouth,the-plymouth-premier-suites-by-sonder,
2173807,Cambria Hotel Chicago Loop - Theatre District,cambria-suites,
12301691,The Chicago Hotel Collection Millennium Park,po-the-chicago-hotel-collection-millennium-park,
1353133,Hyatt Place Chicago/Downtown - The Loop,hyatt-place-chicago-47-downtown-the-loop,
182592,The Buckingham Hotel,the-buckingham-athletic-club,
55916,The Allegro Royal Sonesta Hotel Chicago Loop,allegro-chicago,
56130,HI Chicago Hostel,hostelling-international-chicago,
13024549,2662sqft Penthouse View to The Bean & Millenium Park,2662sqft-penthouse-view-to-the-bean-amp-millenium-park,
23384,"Bluegreen Vacations Hotel Blake, Ascend Resort Collection",blake,
11040116,Central Downtown Location-Modern 2BR Condo,central-downtown-location-modern-2br-condo,
9830293,Loop 1BR w Gym Roof nr Millennium Park CHI-386,loop-1br-w-gym-roof-nr-millennium-park-chi-386,
182226,"theWit Chicago, a Hilton Hotel",thewit-a-doubletree,
10574621,Loop 1BR w Gym Roofdeck nr Millennium Park CHI-249,loop-1br-w-gym-roofdeck-nr-millennium-park-chi-249,
11929747,Indoor Pool Gym Rooftop-215-by Cloud9,indoor-pool-gym-rooftop-215-by-cloud9,
3961606,Arlo Chicago,julian-chicago-chicago1,
180799,Renaissance Chicago Downtown Hotel,renaissance-chicago,
10642078,Loop 1BR w Pool Gym nr Financial District CHI-268,loop-1br-w-pool-gym-nr-financial-district-chi-268,
9756312,Loop 1BR w gym pool lounge 1 block from L CHI-700,loop-1br-w-gym-pool-lounge-1-block-from-l-chi-700,
9756087,Loop Studio w Pool Gym nr Theatre District CHI-241,loop-studio-w-pool-gym-nr-theatre-district-chi-241,
10073028,Loop 2BR w Pool Gym nr Financial District CHI-271,loop-2br-w-pool-gym-nr-financial-district-chi-271,
10462262,Loop 1BR w gym pool lounge 1 block from L CHI-699,loop-1br-w-gym-pool-lounge-1-block-from-l-chi-699,
9756068,Loop 1BR w Gym Pool nr Financial District CHI-219,loop-1br-w-gym-pool-nr-financial-district-chi-219,
9756091,Loop 2BR w Pool Gym nr Financial District L CHI-257,loop-2br-w-pool-gym-nr-financial-district-l-chi-257,
10642070,Loop 1BR w Gym Pool nr Financial District CHI-232,loop-1br-w-gym-pool-nr-financial-district-chi-232,
10368196,Loop 1br w pool gym lounge nr Riverwalk CHI-634,loop-1br-w-pool-gym-lounge-nr-riverwalk-chi-634,
9783823,Loop 2BR w Gym Pool nr Financial District CHI-223,loop-2br-w-gym-pool-nr-financial-district-chi-223,
1250112,Virgin Hotels Chicago,virgin-hotels-chicago-chicago,
56244,Congress Plaza Hotel Chicago,congress-plaza,
45478,L7 Chicago by LOTTE,monaco-chicago,
11257649,Loop studio w roof deck nr michigan ave CHI-1014,loop-studio-w-roof-deck-nr-michigan-ave-chi-1014,
11192946,Loop studio w theater games nr Millennium Park CHI-1017,loop-studio-w-theater-games-nr-millennium-park-chi-1017,
